Day,Month,Term Used,Title,URL,Year,barbarian,barbaric,extremis,fanatic,fundamentalis,jihad,militant,murder,radical,refugee,terror,terrorism,terrorist,violence,violent
21,July,False,Nine members of one family perish,https://link.galegroup.com/apps/doc/A547370268/SPN.SP01?u=nypl&sid=SPN.SP01&xid=e5bc1115,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,July,False,Knicks' Knox honored on summer 1st-team,https://link.galegroup.com/apps/doc/A546842468/SPN.SP01?u=nypl&sid=SPN.SP01&xid=3cb2c998,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,July,False,Praising Tebow's second coming Ex-NFLer's rebirth in Binghamton a 'minors miracle' to fans,https://link.galegroup.com/apps/doc/A546193052/SPN.SP01?u=nypl&sid=SPN.SP01&xid=5f9fe2eb,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,July,True,PostScript Letters,https://link.galegroup.com/apps/doc/A545904368/SPN.SP01?u=nypl&sid=SPN.SP01&xid=2cb125aa,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
8,July,False,SNAPS,https://link.galegroup.com/apps/doc/A545904450/SPN.SP01?u=nypl&sid=SPN.SP01&xid=5e8c91aa,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,July,False,Cortez's Socialist Fantasy,https://link.galegroup.com/apps/doc/A545886167/SPN.SP01?u=nypl&sid=SPN.SP01&xid=1d4ddc76,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,July,False,"INSTA-BABY Forget the local penny saver. Couples looking to adopt are turning to Instagram, hashtags and targeted ads to find children MODERN FAMILIES",https://link.galegroup.com/apps/doc/A545441506/SPN.SP01?u=nypl&sid=SPN.SP01&xid=f848b734,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,July,False,Holy schools' UFT 'purge' suspicious,https://link.galegroup.com/apps/doc/A545303393/SPN.SP01?u=nypl&sid=SPN.SP01&xid=7ff5aad7,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,July,False,SHE'S THE GIRL OF SUMMER(S) Miss USA Sarah Rose Summers takes NYC - and defends pageant swimsuit contests,https://link.galegroup.com/apps/doc/A545063213/SPN.SP01?u=nypl&sid=SPN.SP01&xid=3910c320,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,June,False,Don UN immig-pick nix,https://link.galegroup.com/apps/doc/A545020702/SPN.SP01?u=nypl&sid=SPN.SP01&xid=4f697fa6,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,June,True,Brooklyn 'Woman Walks' into Native lore Story behind Victorian firebrand who painted Chief Sitting Bull,https://link.galegroup.com/apps/doc/A544723486/SPN.SP01?u=nypl&sid=SPN.SP01&xid=ce1bcf74,2018,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
28,June,False,MORSE CODE PBS crime series a worthy 'Endeavour',https://link.galegroup.com/apps/doc/A544626041/SPN.SP01?u=nypl&sid=SPN.SP01&xid=b64c520f,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,June,False,Targets of left's 'low' blows,https://link.galegroup.com/apps/doc/A544519126/SPN.SP01?u=nypl&sid=SPN.SP01&xid=d5b6b4d4,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,June,False,Losing a Conservative Giant,https://link.galegroup.com/apps/doc/A544281790/SPN.SP01?u=nypl&sid=SPN.SP01&xid=c4e52d8e,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,June,True,Merkel fall may be just a week away German coalition teeters over immig,https://link.galegroup.com/apps/doc/A543341793/SPN.SP01?u=nypl&sid=SPN.SP01&xid=472c119a,2018,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
16,June,False,Bombers keep on rolling out intriguing kids,https://link.galegroup.com/apps/doc/A543323882/SPN.SP01?u=nypl&sid=SPN.SP01&xid=7edfb681,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,June,False,Sweet & Loaisiga Rook aces Yanks debut in easy win over Rays,https://link.galegroup.com/apps/doc/A543323883/SPN.SP01?u=nypl&sid=SPN.SP01&xid=c8b0d474,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,June,False,God-ing the border Jeff cites Bible in support of separating kids,https://link.galegroup.com/apps/doc/A542816667/SPN.SP01?u=nypl&sid=SPN.SP01&xid=d3802ee2,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,June,False,Fashion family trio,https://link.galegroup.com/apps/doc/A542602930/SPN.SP01?u=nypl&sid=SPN.SP01&xid=bba665f5,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,June,True,Give 'USS' the Pueblo back! Ex-NoKo POW wants Trump to reclaim '68 ship,https://link.galegroup.com/apps/doc/A541799609/SPN.SP01?u=nypl&sid=SPN.SP01&xid=2c1be5bf,2018,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
6,June,False,A Flour-ing Debate Over a Baker's Rights,https://link.galegroup.com/apps/doc/A541552126/SPN.SP01?u=nypl&sid=SPN.SP01&xid=c31ed549,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,June,False,FAST TAKES,https://link.galegroup.com/apps/doc/A541412921/SPN.SP01?u=nypl&sid=SPN.SP01&xid=61e46f84,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,June,False,"Baker Cakewalk In right to refuse gay pair: Supremes, 7-2",https://link.galegroup.com/apps/doc/A541412942/SPN.SP01?u=nypl&sid=SPN.SP01&xid=26458413,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,June,False,De Blasiowes $300K in debt No payment on legal bill,https://link.galegroup.com/apps/doc/A541412955/SPN.SP01?u=nypl&sid=SPN.SP01&xid=7b9a9aca,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,June,False,Israeli tour jumped through hoops to watch '94 Finals,https://link.galegroup.com/apps/doc/A541315149/SPN.SP01?u=nypl&sid=SPN.SP01&xid=a90fcb52,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,June,True,"Cult kids do dirty work NY sect beatings, child labor bared",https://link.galegroup.com/apps/doc/A541021038/SPN.SP01?u=nypl&sid=SPN.SP01&xid=11dcbb5c,2018,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,June,False,Fed gives Deutsche low grade,https://link.galegroup.com/apps/doc/A541021107/SPN.SP01?u=nypl&sid=SPN.SP01&xid=20c71074,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,May,False,FAST TAKES,https://link.galegroup.com/apps/doc/A540920656/SPN.SP01?u=nypl&sid=SPN.SP01&xid=adbd9566,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,May,True,"Honoring heritage Film chronicles Ike, Team Israel and playing for the love of game",https://link.galegroup.com/apps/doc/A540698479/SPN.SP01?u=nypl&sid=SPN.SP01&xid=85e99d05,2018,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
24,May,False,Desperate times Deutsche ramps up job cuts: report,https://link.galegroup.com/apps/doc/A540079272/SPN.SP01?u=nypl&sid=SPN.SP01&xid=334ca39c,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,May,False,"HIT THE ROAD, HACK (AND DON'TCHA COME BACK) QB bust gets shipped off to Raiders hours after ripping coaching staff",https://link.galegroup.com/apps/doc/A539926573/SPN.SP01?u=nypl&sid=SPN.SP01&xid=a1b73ba3,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,May,False,SHADES OF DRAMA Genre-bending 'Picnic' mystery offers a feast of intrigue,https://link.galegroup.com/apps/doc/A539670547/SPN.SP01?u=nypl&sid=SPN.SP01&xid=50b8b125,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,May,False,"BACK FROM THE BRINK Former Giant tries to makes amends after bouts with drugs, sex assault charges",https://link.galegroup.com/apps/doc/A539716720/SPN.SP01?u=nypl&sid=SPN.SP01&xid=c6ee820f,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,May,True,How Many Times? Exchange student killed Pakistan girl was set to go home in June,https://link.galegroup.com/apps/doc/A539642569/SPN.SP01?u=nypl&sid=SPN.SP01&xid=fb8e1ef8,2018,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
19,May,False,They're (Still Stuck) With Her,https://link.galegroup.com/apps/doc/A539642601/SPN.SP01?u=nypl&sid=SPN.SP01&xid=980c52b4,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,May,False,FAST TAKES,https://link.galegroup.com/apps/doc/A539241325/SPN.SP01?u=nypl&sid=SPN.SP01&xid=ea51fe08,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,May,False,DB raking execs by cutting gardening time,https://link.galegroup.com/apps/doc/A539063185/SPN.SP01?u=nypl&sid=SPN.SP01&xid=49d745ba,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,May,True,"Goodbye, Tel Aviv - Hello, Holy City 'This is history,' Bibi declares as US opens new embassy",https://link.galegroup.com/apps/doc/A538751381/SPN.SP01?u=nypl&sid=SPN.SP01&xid=6a8b7b6c,2018,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
15,May,False,Mitt rips event's 'bigot' pastor,https://link.galegroup.com/apps/doc/A538751383/SPN.SP01?u=nypl&sid=SPN.SP01&xid=30a50115,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,May,False,PostScript Letters,https://link.galegroup.com/apps/doc/A538536779/SPN.SP01?u=nypl&sid=SPN.SP01&xid=19550956,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,May,True,Getting a grip on Israel's future,https://link.galegroup.com/apps/doc/A538536804/SPN.SP01?u=nypl&sid=SPN.SP01&xid=63ded739,2018,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
13,May,True,MEAN STREETS TO B'WAY FIZDALE JOURNEY TO KNICKS BENCH BEGAN IN HARDSCRABBLE WEST L.A.,https://link.galegroup.com/apps/doc/A538536866/SPN.SP01?u=nypl&sid=SPN.SP01&xid=3cf9373a,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
9,May,False,RiRi's starry 'pajama' party,https://link.galegroup.com/apps/doc/A537861965/SPN.SP01?u=nypl&sid=SPN.SP01&xid=7ac344f5,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
